participant,country,result,notes,location,event_year
Karabo Sibanda,BOT,44.25,,Rio,2016
Ali Khamis Khamis,BRN,44.36,,Rio,2016
Bralon Taplin,GRN,44.45,,Rio,2016
Matthew Hudson-Smith,GBR,44.61,,Rio,2016
Otis Davis,USA,44.9,Olympic and World Record,Rome,1960
Carl Kaufmann,EUA,44.9,Olympic and World Record,Rome,1960
Malcolm Spence,RSA,45.5,,Rome,1960
Milkha Singh,IND,45.6,,Rome,1960
Manfred Kinder,EUA,45.9,,Rome,1960
Earl Young,USA,45.9,,Rome,1960
Steve Lewis,USA,43.87,,Seoul,1988
Harry Butch . Reynolds,USA,43.93,,Seoul,1988
Danny Everett,USA,44.09,,Seoul,1988
Darren Clark,AUS,44.55,,Seoul,1988
Innocent Egbunike,NGR,44.72,,Seoul,1988
Bertland Cameron,JAM,44.94,,Seoul,1988
Ian Morris,TTO,44.95,,Seoul,1988
Mohammed Amer Al-Malky,OMA,45.03,,Seoul,1988
Derek Redmond,GBR,,,Seoul,1988
Luis Neto,ANG,,,Seoul,1988
Ousmane Diarra,SEN,,,Seoul,1988
Porfirio Mendez,PAR,,,Seoul,1988
William Taramai,COK,,,Seoul,1988
Harry Hillman,USA,49.2,Olympic record,St Louis,1904
Frank Waller,USA,49.9,,St Louis,1904
Herman Groman,USA,50.0,,St Louis,1904
Joseph Fleming,USA,,,St Louis,1904
Meyer Prinstein,USA,,,St Louis,1904
George Poage,USA,,,St Louis,1904
Clyde Amel Blair,USA,,Qualified,St Louis,1904
George Underwood,USA,,Qualified,St Louis,1904
Howard Valentine,USA,,Qualified,St Louis,1904
Johannes Runge,GER,,Qualified,St Louis,1904
Paul Pilgrim,USA,,Qualified,St Louis,1904
Percival Molson,CAN,,,St Louis,1904
Charles Reidpath,USA,0:48.2,Olympic record,Stockholm,1912
Hanns Braun,GER,0:48.3,,Stockholm,1912
Edward Lindberg,USA,0:48.4,,Stockholm,1912
James Edwin Meredith,USA,0:49.2,No ranking,Stockholm,1912
Carroll Barse Haff,USA,0:49.5,No ranking,Stockholm,1912
Michael Johnson,USA,43.84,,Sydney,2000
Alvin Harrison,USA,44.40,,Sydney,2000
Greg Haughton,JAM,44.70,,Sydney,2000
Sanderlei Parrela,BRA,45.01,,Sydney,2000
Robert Mackowiak,POL,45.14,,Sydney,2000
Hendrick Mokganyetsi,RSA,45.26,,Sydney,2000
Danny Mcfarlane,JAM,45.55,,Sydney,2000
Antonio Pettigrew,USA,45.42 / DPG,Disqualified for doping,Sydney,2000
Mike Larrabee,USA,45.1,,Tokyo,1964
Wendell Mottley,TTO,45.2,,Tokyo,1964
Andrzej Badenski,POL,45.6,,Tokyo,1964
Robbie Brightwell,GBR,45.7,,Tokyo,1964
Ulis Williams,USA,46.0,,Tokyo,1964
Tim Graham,GBR,46.0,,Tokyo,1964
Peter Vassella,AUS,46.3,,Tokyo,1964
Edwin Skinner,TTO,46.8,,Tokyo,1964
